name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
conv,"kernel=7x7,stride=2x2,pad=3x3,num_out=64","[1, 3, 224, 224]","[1, 112, 2, 64]",157351936,157351936,0,314703872,702464,14336
batch_norm,None,"[1, 64, 112, 112]","[1, 64, 112, 112]",802816,802816,0,1605632,0,802816
relu,None,"[1, 64, 112, 112]","[1, 64, 112, 112]",0,0,802816,802816,0,802816
max_pool,"kernel=3x3,stride=2x2,pad=1x1,type=max","[1, 64, 112, 112]","[1, 56, 32, 112]",0,0,1605632,1605632,0,200704
conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 56, 64, 64]",115605504,115605504,0,231211008,32256,229376
batch_norm,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 56, 64, 64]",115605504,115605504,0,231211008,32256,229376
batch_norm,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 56, 64, 64]",115605504,115605504,0,231211008,32256,229376
batch_norm,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=64","[1, 64, 56, 56]","[1, 56, 64, 64]",115605504,115605504,0,231211008,32256,229376
batch_norm,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",200704,200704,0,401408,0,200704
relu,None,"[1, 64, 56, 56]","[1, 64, 56, 56]",0,0,200704,200704,0,200704
conv,"kernel=3x3,stride=2x2,pad=1x1,num_out=128","[1, 64, 56, 56]","[1, 28, 32, 128]",57802752,57802752,0,115605504,64512,114688
batch_norm,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",100352,100352,0,200704,0,100352
relu,None,"[1, 128, 28, 28]","[1, 128, 28, 28]",0,0,100352,100352,0,100352
conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=128","[1, 128, 28, 28]","[1, 28, 128, 128]",115605504,115605504,0,231211008,32256,458752
